Category,Subcategory,Description
KM Processes,Converse,"Collaboration, discussion, knowledge sharing"
KM Processes,Capture,"Collecting information, recordings, notes"
KM Processes,Curate,"Organizing, structuring, validating knowledge"
KM Processes,Circulate,"Publishing, distributing, reusing knowledge"
Content Types,Policies,"Org rules, governance documents"
Content Types,Procedures,"Step-by-step workflows"
Content Types,Guides,"How-to documents"
Content Types,Templates,"Reusable KM formats"
Projects,KM Projects,"Internal KM initiatives"
Projects,IT Projects,"Technical improvement projects"
People,Roles,"Employee roles, responsibilities"
People,Teams,"Departments, groups"
